School_name,city,zipcode,elementary_school,intermediate_school,middle_school,high_school,school_grade,title_i_status,total_students,african_american,african_american_percent,hispanic,hispanic_percent,native_american,native_american_percent,white,white_percent,multiple_race,multiple_race_percent,asian,asian_percent,pacific_islander,pacific_islander_percent,proficiency_pts,Grad_Rate_pts,Dropout_rate,CCRI_points,promotion_rate,No_of_students_adv_placement_course,Students_with_Chronic_Absenteeism,crime_rate,total_students_bullied,personnel_federal_expenditure,personnel_state_and_local_expenditure,non_personnel_federal_expenditure,non_personnel_state_and_local_expenditure,total_per_pupil_expenditure,acad_focus_1,acad_focus_2,acad_focus_3,acad_focus_4,acad_focus_5
Franklin Police and Fire High School,Phoenix,85007,0,0,0,1,5,1,321,10,10.0,301,93.77,10,10.0,10,10.0,10,10.0,10,10.0,0,0.0,17.76,10.0,0.0,20.0,99.68,23.0,40.0,2.0,0.0, 271.15, 10436.27, 140.73, 381.39, 11229.54,1,1,1,1,1
Fremont Junior High School,Mesa,85205,0,0,1,0,5,1,986,36,3.65,384,38.95,12,1.22,512,51.93,30,3.04,10,10.0,10,10.0,18.58,8.84,0.0,20.1,100.0,0.0,477.0,62.0,10.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Gateway Early College High School,Phoenix,85034,0,0,0,1,5,1,333,55,16.52,264,79.28,10,10.0,10,10.0,10,10.0,10,10.0,10,10.0,15.88,10.0,0.29,19.2,100.0,18.0,42.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,1,1,1,1,1
Gila Bend High School,Gila Bend,85337,0,0,0,1,1,1,156,10,10.0,105,67.31,40,25.64,10,10.0,10,10.0,0,0.0,0,0.0,3.86,7.42,5.26,0.0,95.95,0.0,106.0,1.0,4.0, 975.71, 4800.69, 129.53, 110.77, 6016.69,0,0,0,0,0
Gilbert High School,Gilbert,85234,0,0,1,1,4,0,2350,90,3.83,733,31.19,10,10.0,1262,53.7,136,5.79,87,3.7,10,10.0,27.87,10.0,2.56,20.0,98.02,486.0,932.0,13.0,2.0, 185.20, 6509.50, 21.29, 247.04, 6963.04,1,1,1,1,1
Girls Leadership Academy of Arizona,Phoenix,85013,0,0,0,1,3,1,74,10,10.0,57,77.03,10,10.0,10,10.0,10,10.0,10,10.0,0,0.0,7.25,10.0,9.17,16.0,98.53,0.0,29.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Glendale High School,Glendale,85301,0,0,0,1,4,1,1816,167,9.2,1375,75.72,41,2.26,156,8.59,10,10.0,41,2.26,10,10.0,15.05,10.0,2.11,19.9,98.64,255.0,1312.0,55.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Glenview College Preparatory High School,Phoenix,85020,0,0,0,1,5,1,523,25,4.78,457,87.38,10,10.0,18,3.44,11,2.1,10,10.0,10,10.0,21.34,10.0,0.84,20.0,100.0,0.0,406.0,0.0,0.0, 1257.39, 3476.52, 809.04, 4576.44, 10119.39,1,1,1,1,1
Great Hearts Academies - Anthem Prep,Anthem,85086,1,1,1,1,5,0,1029,10,10.0,157,15.26,10,10.0,688,66.86,80,7.78,86,8.36,0,0.0,28.19,10.0,1.13,17.0,99.12,0.0,116.0,1.0,4.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Great Hearts Academies - Archway Chandler,Chandler,85224,1,1,1,1,5,0,532,10,10.0,100,18.8,10,10.0,254,47.74,58,10.9,93,17.48,0,0.0,30.0,8.84,0.0,20.1,99.25,0.0,31.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
