School_name ,school_type,city ,zipcode,class_range, total_students ,student_teacher_ratio, nat_rank ,az_rank,female_students,female_students_percent,district_female_students,district_female_students_percent,male_students,male_students_percent,district_male_students,district_male_students_percent,white_students,white_students_percent,district_white_students,district_white_students_percent,hispanic_students,hispanic_students_percent,district_hispanic_students,district_hispanic_students_percent,asian_students,asian_students_percent,district_asian_students,district_asian_students_percent,two_or_moreR_students,two_or_moreR_students_percent,district_two_or_moreR_students,district_two_or_moreR_students_percent,black,black_percent,district_black,district_black_percent,pacific_islander,pacific_islander_percent,district_pacific_islander,district_pacific_islander_percent,american_indian,american_indian_percent,district_american_indian,district_american_indian_percent,lunch_assist_not_eligible,lunch_assist_not_eligible_percent,district_lunch_assist_not_eligible,district_lunch_assist_not_eligible_percent,lunch_assist_red_price,lunch_assist_red_price_percent,district_lunch_assist_red_price,district_lunch_assist_red_price_percent,lunch_assist_free,lunch_assist_free_percent,district_lunch_assist_free,district_lunch_assist_free_percent,nearby_schools_dict
West-Mec - Paradise Valley High School,Public,Phoenix,85032,09 - 12,1,-1:1,"25,948th out of 26,089",630th out of 659,1,100%,183,43%,0,0%,238,57%,1,100%,10,2%,0,0%,2,0%,0,0%,182,43%,0,0%,186,44%,0,0%,29,7%,0,0%,5,1%,0,0%,7,2%,,,421,100%,,,0,0%,,,0,0%,"{'Paradise Valley High School': '1 miles', 'Pvonline': '2 miles', 'Greenway Middle School': '2 miles', 'Vista Verde Middle School': '2 miles', 'Pinnacle High School': '3 miles', 'North Canyon High School': '3 miles', 'Scottsdale Christian Academy': '3 miles', 'Horizon High School': '3 miles', 'Sweetwater Community School': '3 miles', 'Sunrise Middle School': '3 miles'}"
West-Mec - Pinnacle High School,Public,Phoenix,85050,09 - 12,,,Unranked,Unranked,,,183,43%,,,238,57%,,,10,2%,,,2,0%,,,182,43%,,,186,44%,,,29,7%,,,5,1%,,,7,2%,,,421,100%,,,0,0%,,,0,0%,"{'Pinnacle High School': '1 miles', 'Explorer Middle School': '2 miles', 'Mountain Trail Middle School': '2 miles', 'Vista Verde Middle School': '3 miles', 'North Canyon High School': '3 miles', 'Paradise Valley High School': '3 miles', 'Pvonline': '4 miles', 'Greenway Middle School': '4 miles', 'Scottsdale Christian Academy': '5 miles', 'Sunrise Middle School': '5 miles'}"
West-Mec - Shadow Mountain High School,Public,Phoenix,85028,09 - 12,,,Unranked,Unranked,,,183,43%,,,238,57%,,,10,2%,,,2,0%,,,182,43%,,,186,44%,,,29,7%,,,5,1%,,,7,2%,,,421,100%,,,0,0%,,,0,0%,"{'Shadow Mountain High School': '1 miles', 'Shea Middle School': '1 miles', 'Paradise Valley Christian Preparatory': '1 miles', 'Roadrunner School': '1 miles', 'Sweetwater Community School': '3 miles', 'Pvonline': '3 miles', 'Greenway Middle School': '3 miles', 'Scottsdale Christian Academy': '4 miles', 'Sunrise Middle School': '4 miles', 'Sunnyslope High School': '4 miles'}"
West-Mec - Sunnyslope High School,Public,Phoenix,85021,09 - 12,,,Unranked,Unranked,,,183,43%,,,238,57%,,,10,2%,,,2,0%,,,182,43%,,,186,44%,,,29,7%,,,5,1%,,,7,2%,,,421,100%,,,0,0%,,,0,0%,"{'Sunnyslope High School': '1 miles', 'Washington High School': '3 miles', 'Metrocenter Academy': '3 miles', 'Cortez High School': '3 miles', 'Valley Lutheran High School': '4 miles', 'Accel': '4 miles', 'Paradise Valley Christian Preparatory': '4 miles', 'Shadow Mountain High School': '4 miles', 'Thunderbird High School': '4 miles', 'Shea Middle School': '4 miles'}"
West-Mec - Thunderbird High School,Public,Phoenix,85023,09 - 12,,,Unranked,Unranked,,,183,43%,,,238,57%,,,10,2%,,,2,0%,,,182,43%,,,186,44%,,,29,7%,,,5,1%,,,7,2%,,,421,100%,,,0,0%,,,0,0%,"{'Thunderbird High School': '1 miles', 'Mountain Sky Middle School': '2 miles', 'Desert Foothills Middle School': '2 miles', 'Moon Valley High School': '3 miles', 'Greenway High School': '3 miles', 'Gary K. Herberger Young Scholars Academy': '4 miles', 'Northwest Christian School': '4 miles', 'Accel': '4 miles', 'Vista Peak': '4 miles', 'Cortez High School': '4 miles'}"
West-Mec - Tonopah Valley High School,Public,Phoenix,85354,07 - 12,,,Unranked,Unranked,,,183,43%,,,238,57%,,,10,2%,,,2,0%,,,182,43%,,,186,44%,,,29,7%,,,5,1%,,,7,2%,,,421,100%,,,0,0%,,,0,0%,"{'Tonopah Valley High School': '1 miles', 'Youngker High School': '18 miles', 'Buckeye Union High School': '19 miles'}"
West-Mec - Washington High School,Public,Phoenix,85021,09 - 12,1,-1:1,"25,948th out of 26,089",630th out of 659,1,100%,238,57%,0,0%,183,43%,1,100%,186,44%,0,0%,10,2%,0,0%,2,0%,0,0%,182,43%,0,0%,29,7%,0,0%,5,1%,0,0%,7,2%,,,421,100%,,,0,0%,,,0,0%,"{'Washington High School': '1 miles', 'Alhambra High School': '3 miles', 'High-Star Center for Children': '3 miles', 'Bourgade Catholic High School': '3 miles', 'Cortez High School': '3 miles', 'Valley Lutheran High School': '3 miles', 'Metrocenter Academy': '3 miles', 'Sunnyslope High School': '3 miles', 'Southwest Key Transitional Learning Center': '3 miles', 'Osborn Middle School': '3 miles'}"
Western School of Science and Technology,Public,Phoenix,85033,07 - 10,379,-1:1,"13,024th out of 26,089",235th out of 659,200,53%,200,53%,179,47%,179,47%,366,97%,366,97%,6,2%,6,2%,5,1%,5,1%,1,0%,1,0%,1,0%,1,0%,0,0%,0,0%,0,0%,0,0%,317,(84%),317,84%,39,(10%),39,10%,23,(6%),23,6%,"{'Maryvale High School': '1 miles', 'West-Mec - Central Campus': '2 miles', 'Trevor Browne High School': '2 miles', 'Independence High School': '3 miles', 'Alhambra High School': '4 miles', 'High-Star Center for Children': '4 miles', 'Copper Canyon High School': '4 miles', 'Glendale High School': '4 miles', 'Raymond S. Kellis': '5 miles', 'Carl Hayden High School': '5 miles'}"
Westland School,Public,Phoenix,85033,KG - 12,289,-1:1,"14,964th out of 26,089",268th out of 659,159,55%,277,55%,130,45%,227,45%,156,54%,294,58%,69,24%,101,20%,44,15%,75,15%,16,6%,25,5%,2,1%,2,0%,2,1%,3,1%,0,0%,4,1%,220,(76%),370,73%,50,(17%),92,18%,19,(7%),42,8%,"{'Maryvale High School': '2 miles', 'Trevor Browne High School': '2 miles', 'West-Mec - Central Campus': '3 miles', 'Independence High School': '3 miles', 'Alhambra High School': '4 miles', 'High-Star Center for Children': '4 miles', 'Copper Canyon High School': '4 miles', 'Glendale High School': '4 miles', 'Raymond S. Kellis': '5 miles', 'Apollo High School': '5 miles'}"
Xavier College Preparatory,Private,Phoenix,85012,09 - 12,"1,206",14:1,"144th out of 7,602",3rd out of 74,"1,206",100%,"5,675",48%,0,0%,"6,260",52%,"1,004",83%,"7,443",65%,92,8%,"1,856",16%,68,6%,699,6%,27,2%,619,5%,11,1%,131,1%,4,0%,34,0%,0,0%,623,5%,,,,,,,,,,,,,"{'Brophy College Preparatory': '1 miles', 'Central High School': '1 miles', 'Valley Lutheran High School': '1 miles', 'Tumbleweed Transitional Learning Center': '2 miles', 'Suns-Diamondbacks Education Academy': '2 miles', 'North High School': '2 miles', 'Osborn Middle School': '2 miles', 'Phoenix Christian Preparatory School': '2 miles', 'St Marys High School': '3 miles', 'Metro Tech High School': '3 miles'}"
Yeshiva High School of Arizona,Private,Phoenix,85020,09 - 12,21,3:1,"6,704th out of 7,602",66th out of 74,21,100%,"6,260",52%,0,0%,"5,675",48%,21,100%,"7,443",65%,0,0%,623,5%,0,0%,34,0%,0,0%,"1,856",16%,0,0%,619,5%,0,0%,699,6%,0,0%,131,1%,,,,,,,,,,,,,"{'Sunnyslope High School': '3 miles', 'Washington High School': '3 miles', 'Brophy College Preparatory': '3 miles', 'Xavier College Preparatory': '3 miles', 'Valley Lutheran High School': '3 miles', 'Osborn Middle School': '3 miles', 'Central High School': '3 miles', 'Camelback High School': '4 miles', 'Southwest Key Transitional Learning Center': '4 miles', 'Suns-Diamondbacks Education Academy': '4 miles'}"
American Leadership Academy - Queen Creek,Public,Queen Creek,85142,06 - 12,"1,298",-1:1,"4,282nd out of 26,089",113th out of 659,657,51%,"1,401",50%,641,49%,"1,396",50%,"1,009",78%,"2,040",73%,179,14%,465,17%,49,4%,130,5%,29,2%,84,3%,19,1%,37,1%,8,1%,18,1%,5,0%,23,1%,985,(76%),"1,724",62%,178,(14%),651,23%,135,(10%),422,15%,"{'Queen Creek High School': '2 miles', 'Canyon State Academy': '2 miles', 'Sossaman Middle School': '4 miles', 'Dr. Camille Casteel High School': '4 miles', 'J. O. Combs Middle School': '5 miles', 'Willie & Coy Payne Junior High School': '6 miles', 'Higley High School': '6 miles', 'Evit - East Campus': '6 miles', 'Combs High School': '7 miles', 'Perry High School': '7 miles'}"
Benjamin Franklin High School,Public,Queen Creek,85142,07 - 12,862,-1:1,"6,891st out of 26,089",140th out of 659,441,51%,441,51%,421,49%,421,49%,683,79%,683,79%,110,13%,110,13%,28,3%,28,3%,20,2%,20,2%,16,2%,16,2%,3,0%,3,0%,2,0%,2,0%,,,862,100%,,,0,0%,,,0,0%,"{'Canyon State Academy': '2 miles', 'Sossaman Middle School': '3 miles', 'Queen Creek High School': '3 miles', 'Evit - East Campus': '4 miles', 'Higley High School': '5 miles', 'Dr. Camille Casteel High School': '5 miles', 'Gilbert Christian Schools': '6 miles', 'J. O. Combs Middle School': '6 miles', 'Cooley Middle School': '6 miles', 'Combs High School': '6 miles'}"
Canyon State Academy,Private,Queen Creek,85142,04 - 12,347,9:1,"1,786th out of 7,602",17th out of 74,347,100%,"2,517",56%,0,0%,"1,987",44%,304,88%,717,17%,23,7%,"2,761",64%,18,5%,254,6%,2,1%,23,1%,0,0%,168,4%,0,0%,309,7%,0,0%,50,1%,,,,,,,,,,,,,"{'Sossaman Middle School': '2 miles', 'Queen Creek High School': '3 miles', 'Dr. Camille Casteel High School': '4 miles', 'Evit - East Campus': '4 miles', 'Higley High School': '4 miles', 'Gilbert Christian Schools': '6 miles', 'Willie & Coy Payne Junior High School': '6 miles', 'Perry High School': '6 miles', 'J. O. Combs Middle School': '6 miles', 'Cooley Middle School': '6 miles'}"
Dr. Camille Casteel High School,Public,Queen Creek,85142,07 - 12,907,19.3:1,"6,581st out of 26,089",138th out of 659,469,52%,"9,751",51%,438,48%,"9,426",49%,704,78%,"11,040",58%,134,15%,"4,578",24%,27,3%,"1,275",7%,23,3%,"1,615",8%,15,2%,324,2%,2,0%,23,0%,2,0%,322,2%,787,(87%),"14,674",77%,92,(10%),"3,951",21%,28,(3%),552,3%,"{'Willie & Coy Payne Junior High School': '2 miles', 'Sossaman Middle School': '3 miles', 'Canyon State Academy': '4 miles', 'Perry High School': '5 miles', 'Queen Creek High School': '5 miles', 'Basha High School': '5 miles', 'Higley High School': '6 miles', 'Campo Verde High School': '6 miles', 'Evit - East Campus': '7 miles', 'J. O. Combs Middle School': '8 miles'}"
Heritage Academy Queen Creek,Public,Queen Creek,85142,07 - 08,,,Unranked,Unranked,,,361,51%,,,346,49%,,,4,1%,,,5,1%,,,570,81%,,,97,14%,,,12,2%,,,15,2%,,,4,1%,,,707,100%,,,0,0%,,,0,0%,"{'Sossaman Middle School': '2 miles', 'Canyon State Academy': '2 miles', 'Higley High School': '3 miles', 'Evit - East Campus': '3 miles', 'Queen Creek High School': '4 miles', 'Gilbert Christian Schools': '5 miles', 'Cooley Middle School': '5 miles', 'Dr. Camille Casteel High School': '5 miles', 'Perry High School': '6 miles', 'Willie & Coy Payne Junior High School': '6 miles'}"
Queen Creek High School,Public,Queen Creek,85142,09 - 12,"1,899",27:1,"1,891st out of 26,089",61st out of 659,978,52%,979,51%,921,48%,924,49%,"1,306",69%,"1,309",69%,435,23%,435,23%,61,3%,62,3%,34,2%,34,2%,30,2%,30,2%,26,1%,26,1%,7,0%,7,0%,"1,414",(74%),"1,418",75%,347,(18%),347,18%,138,(7%),138,7%,"{'Canyon State Academy': '3 miles', 'J. O. Combs Middle School': '4 miles', 'Combs High School': '5 miles', 'Dr. Camille Casteel High School': '5 miles', 'Sossaman Middle School': '5 miles', 'Poston Butte High School': '7 miles', 'Evit - East Campus': '7 miles', 'Higley High School': '7 miles', 'Willie & Coy Payne Junior High School': '7 miles', 'San Tan Foothills High School': '8 miles'}"
Queen Creek Virtual Academy,Public,Queen Creek,85142,06 - 12,4,-1:1,"25,615th out of 26,089",594th out of 659,3,75%,924,49%,1,25%,979,51%,3,75%,"1,309",69%,1,25%,62,3%,0,0%,34,2%,0,0%,7,0%,0,0%,435,23%,0,0%,30,2%,0,0%,26,1%,,,"1,418",75%,,,138,7%,,,347,18%,"{'Dr. Camille Casteel High School': '3 miles', 'Queen Creek High School': '3 miles', 'Canyon State Academy': '3 miles', 'Sossaman Middle School': '3 miles', 'Willie & Coy Payne Junior High School': '5 miles', 'Higley High School': '6 miles', 'Evit - East Campus': '6 miles', 'J. O. Combs Middle School': '6 miles', 'Perry High School': '7 miles', 'Basha High School': '7 miles'}"
Sossaman Middle School,Public,Queen Creek,85142,07 - 08,917,21.5:1,Unranked,Unknown,492,54%,"2,889",53%,425,46%,"2,516",47%,633,69%,"3,580",66%,172,19%,"1,089",20%,38,4%,179,3%,35,4%,265,5%,30,3%,242,4%,7,1%,32,1%,2,0%,18,0%,834,(91%),"4,880",90%,53,(6%),335,6%,30,(3%),190,4%,"{'Canyon State Academy': '2 miles', 'Dr. Camille Casteel High School': '3 miles', 'Higley High School': '3 miles', 'Perry High School': '4 miles', 'Willie & Coy Payne Junior High School': '4 miles', 'Evit - East Campus': '4 miles', 'Queen Creek High School': '5 miles', 'Campo Verde High School': '5 miles', 'Gilbert Christian Schools': '5 miles', 'Basha High School': '6 miles'}"
Willie & Coy Payne Junior High School,Public,Queen Creek,85142,07 - 08,"1,141",19.3:1,Unranked,Unknown,582,51%,"9,751",51%,559,49%,"9,426",49%,830,73%,"11,040",58%,172,15%,"4,578",24%,53,5%,"1,615",8%,46,4%,"1,275",7%,20,2%,324,2%,19,2%,322,2%,1,0%,23,0%,"1,010",(89%),"14,674",77%,106,(9%),"3,951",21%,25,(2%),552,3%,"{'Dr. Camille Casteel High School': '2 miles', 'Basha High School': '3 miles', 'Perry High School': '4 miles', 'Sossaman Middle School': '4 miles', 'Santan Junior High School': '6 miles', 'Canyon State Academy': '6 miles', 'Higley High School': '6 miles', 'Campo Verde High School': '6 miles', 'Queen Creek High School': '7 miles', 'Evit - East Campus': '8 miles'}"
Arizona International Academy,Private,Scottsdale,85254,04 - 09,10,6:1,"7,259th out of 7,602",71st out of 74,6,60%,"7,056",54%,4,40%,"6,070",46%,6,60%,746,6%,3,30%,"8,155",65%,1,10%,652,5%,0,0%,630,5%,0,0%,43,0%,0,0%,"2,217",18%,0,0%,137,1%,,,,,,,,,,,,,"{'Chaparral High School': '2 miles', 'Desert Shadows Middle School': '2 miles', 'Gateway Academy': '3 miles', 'Horizon High School': '3 miles', 'Sunrise Middle School': '4 miles', 'Sweetwater Community School': '4 miles', 'Scottsdale Christian Academy': '4 miles', 'Roadrunner School': '5 miles', 'Notre Dame Preparatory': '5 miles', 'Paradise Valley High School': '6 miles'}"
Basis Scottsdale,Public,Scottsdale,85259,05 - 12,739,-1:1,"7,927th out of 26,089",158th out of 659,397,54%,397,54%,342,46%,342,46%,351,47%,351,47%,301,41%,301,41%,37,5%,37,5%,37,5%,37,5%,8,1%,8,1%,5,1%,5,1%,0,0%,0,0%,,,739,100%,,,0,0%,,,0,0%,"{'Desert Mountain High School': '2 miles', 'Fountain Hills High School': '4 miles', 'Notre Dame Preparatory': '6 miles', 'Gateway Academy': '7 miles', 'Saguaro High School': '9 miles', 'Chaparral High School': '9 miles', 'Desert Shadows Middle School': '10 miles', 'Stapley Junior High School': '10 miles', 'Horizon High School': '11 miles', 'Mountain View High School': '11 miles'}"
Bella Vista College Prepratory School,Private,Scottsdale,85266,04 - 12,33,10:1,"6,101st out of 7,602",61st out of 74,22,67%,"4,881",52%,11,33%,"4,435",48%,21,64%,"5,957",66%,8,24%,"1,493",17%,3,9%,502,6%,1,3%,531,6%,0,0%,18,0%,0,0%,393,4%,0,0%,84,1%,,,,,,,,,,,,,"{'Cactus Shadows High School': '1 miles', 'Sonoran Trails Middle School': '4 miles', 'Explorer Middle School': '8 miles', 'Mountain Trail Middle School': '8 miles', 'Pinnacle High School': '9 miles', 'Vista Verde Middle School': '11 miles', 'Paradise Valley High School': '11 miles', 'North Canyon High School': '11 miles', 'Scottsdale Christian Academy': '12 miles', 'Notre Dame Preparatory': '12 miles'}"
Brightmont Academy,Private,Scottsdale,85254,06 - 12,14,2:1,"7,053rd out of 7,602",70th out of 74,7,50%,"6,070",46%,7,50%,"7,056",54%,12,86%,"8,155",65%,2,14%,"2,217",18%,0,0%,630,5%,0,0%,43,0%,0,0%,652,5%,0,0%,746,6%,0,0%,137,1%,,,,,,,,,,,,,"{'Chaparral High School': '1 miles', 'Gateway Academy': '2 miles', 'Desert Shadows Middle School': '3 miles', 'Horizon High School': '4 miles', 'Sunrise Middle School': '4 miles', 'Scottsdale Christian Academy': '4 miles', 'Sweetwater Community School': '4 miles', 'Roadrunner School': '5 miles', 'Saguaro High School': '5 miles', 'Shadow Mountain High School': '6 miles'}"
Cactus Shadows High School,Public,Scottsdale,85266,09 - 12,"1,714",25.9:1,"2,512th out of 26,089",90th out of 659,861,50%,"1,294",50%,853,50%,"1,286",50%,"1,507",88%,"2,276",88%,119,7%,189,7%,44,3%,58,2%,23,1%,29,1%,10,1%,14,1%,6,0%,7,0%,5,0%,7,0%,"1,578",(92%),"2,359",91%,115,(7%),184,7%,21,(1%),37,1%,"{'Sonoran Trails Middle School': '4 miles', 'Explorer Middle School': '7 miles', 'Mountain Trail Middle School': '8 miles', 'Pinnacle High School': '8 miles', 'Vista Verde Middle School': '11 miles', 'Paradise Valley High School': '11 miles', 'North Canyon High School': '11 miles', 'Scottsdale Christian Academy': '12 miles', 'Notre Dame Preparatory': '12 miles', 'Vista Peak': '12 miles'}"
Chaparral High School,Public,Scottsdale,85253,09 - 12,"2,077",23.5:1,"1,378th out of 26,089",47th out of 659,"1,103",53%,"4,249",50%,974,47%,"4,240",50%,"1,698",82%,"5,573",66%,161,8%,"1,806",21%,129,6%,508,6%,59,3%,325,4%,14,1%,182,2%,12,1%,68,1%,4,0%,27,0%,"1,982",(95%),"6,756",80%,77,(4%),"1,507",18%,18,(1%),226,3%,"{'Gateway Academy': '2 miles', 'Desert Shadows Middle School': '3 miles', 'Saguaro High School': '4 miles', 'Horizon High School': '4 miles', 'Sunrise Middle School': '4 miles', 'Scottsdale Christian Academy': '4 miles', 'Sweetwater Community School': '4 miles', 'Roadrunner School': '5 miles', 'Shadow Mountain High School': '6 miles', 'Shea Middle School': '6 miles'}"
Coronado High School,Public,Scottsdale,85257,09 - 12,"1,041",17.4:1,"5,699th out of 26,089",131st out of 659,549,53%,"4,240",50%,492,47%,"4,249",50%,598,57%,"1,806",21%,256,25%,"5,573",66%,80,8%,182,2%,73,7%,325,4%,23,2%,508,6%,6,1%,68,1%,5,0%,27,0%,609,(59%),"1,507",18%,352,(34%),"6,756",80%,80,(8%),226,3%,"{'Scottsdale Online Learning': '2 miles', 'Ville De Marie Academy': '2 miles', 'Arcadia High School': '4 miles', 'Saguaro High School': '4 miles', 'Tempe High School': '5 miles', 'The Aces-Tempe': '5 miles', 'Carson Junior High School': '6 miles', 'Mcclintock High School': '6 miles', 'Evit - East Valley Institute of Technology': '6 miles', 'Westwood High School': '6 miles'}"
Desert Mountain High School,Public,Scottsdale,85259,09 - 12,"2,244",23.1:1,"1,009th out of 26,089",35th out of 659,"1,131",50%,"4,240",50%,"1,113",50%,"4,249",50%,"1,734",77%,"5,573",66%,237,11%,508,6%,173,8%,"1,806",21%,65,3%,325,4%,18,1%,68,1%,14,1%,182,2%,3,0%,27,0%,"2,099",(94%),"6,756",80%,121,(5%),"1,507",18%,24,(1%),226,3%,"{'Fountain Hills High School': '5 miles', 'Notre Dame Preparatory': '5 miles', 'Gateway Academy': '6 miles', 'Saguaro High School': '7 miles', 'Chaparral High School': '8 miles', 'Horizon High School': '9 miles', 'Desert Shadows Middle School': '9 miles', 'Stapley Junior High School': '10 miles', 'Sunrise Middle School': '10 miles', 'Scottsdale Christian Academy': '10 miles'}"
Foothills Academy,Public,Scottsdale,85266,KG - 12,321,-1:1,"14,236th out of 26,089",258th out of 659,173,54%,182,54%,148,46%,152,46%,276,86%,289,87%,19,6%,19,6%,12,4%,12,4%,11,3%,11,3%,3,1%,3,1%,0,0%,0,0%,0,0%,0,0%,318,(99%),331,99%,3,(1%),3,1%,0,(0%),0,0%,"{'Cactus Shadows High School': '2 miles', 'Sonoran Trails Middle School': '4 miles', 'Explorer Middle School': '7 miles', 'Pinnacle High School': '9 miles', 'Mountain Trail Middle School': '9 miles', 'North Canyon High School': '11 miles', 'Notre Dame Preparatory': '11 miles', 'Horizon High School': '11 miles', 'Vista Verde Middle School': '11 miles', 'Paradise Valley High School': '11 miles'}"
Foothills Academy Connected,Public,Scottsdale,85266,07 - 12,13,-1:1,"24,822nd out of 26,089",547th out of 659,9,69%,182,54%,4,31%,152,46%,13,100%,289,87%,0,0%,11,3%,0,0%,0,0%,0,0%,19,6%,0,0%,3,1%,0,0%,12,4%,0,0%,0,0%,,,331,99%,,,3,1%,,,0,0%,"{'Cactus Shadows High School': '2 miles', 'Sonoran Trails Middle School': '4 miles', 'Explorer Middle School': '8 miles', 'Pinnacle High School': '9 miles', 'Mountain Trail Middle School': '9 miles', 'North Canyon High School': '11 miles', 'Notre Dame Preparatory': '11 miles', 'Horizon High School': '11 miles', 'Vista Verde Middle School': '11 miles', 'Paradise Valley High School': '11 miles'}"
Gateway Academy,Private,Scottsdale,85258,01 - 12,57,4:1,"5,234th out of 7,602",48th out of 74,50,88%,"7,056",54%,7,12%,"6,070",46%,43,75%,"8,155",65%,4,7%,"2,217",18%,3,5%,630,5%,3,5%,652,5%,2,4%,746,6%,2,4%,137,1%,0,0%,43,0%,,,,,,,,,,,,,"{'Chaparral High School': '2 miles', 'Desert Shadows Middle School': '4 miles', 'Saguaro High School': '4 miles', 'Horizon High School': '5 miles', 'Sunrise Middle School': '5 miles', 'Notre Dame Preparatory': '5 miles', 'Scottsdale Christian Academy': '6 miles', 'Sweetwater Community School': '6 miles', 'Desert Mountain High School': '6 miles', 'Roadrunner School': '6 miles'}"
Great Hearts Academies - Cicero Prep,Public,Scottsdale,85258,06 - 12,303,-1:1,Unranked,Unknown,161,53%,161,53%,142,47%,142,47%,215,71%,215,71%,45,15%,45,15%,24,8%,24,8%,12,4%,12,4%,5,2%,5,2%,1,0%,1,0%,1,0%,1,0%,,,303,100%,,,0,0%,,,0,0%,"{'Saguaro High School': '2 miles', 'Gateway Academy': '3 miles', 'Chaparral High School': '4 miles', 'Coronado High School': '5 miles', 'Desert Mountain High School': '6 miles', 'Ville De Marie Academy': '6 miles', 'Scottsdale Online Learning': '6 miles', 'Desert Shadows Middle School': '6 miles', 'Arcadia High School': '7 miles', 'Horizon High School': '7 miles'}"
Great Hearts Academies - Scottsdale Prep,Public,Scottsdale,85260,05 - 12,886,-1:1,"6,722nd out of 26,089",139th out of 659,499,56%,499,56%,387,44%,387,44%,680,77%,680,77%,79,9%,79,9%,75,8%,75,8%,38,4%,38,4%,11,1%,11,1%,2,0%,2,0%,1,0%,1,0%,,,886,100%,,,0,0%,,,0,0%,"{'Horizon High School': '3 miles', 'Desert Shadows Middle School': '3 miles', 'Notre Dame Preparatory': '3 miles', 'Chaparral High School': '4 miles', 'Sunrise Middle School': '4 miles', 'Gateway Academy': '4 miles', 'Scottsdale Christian Academy': '4 miles', 'Sweetwater Community School': '5 miles', 'Paradise Valley High School': '5 miles', 'Explorer Middle School': '6 miles'}"
Horizon High School,Public,Scottsdale,85254,09 - 12,"2,242",26:1,"1,012th out of 26,089",36th out of 659,"1,127",50%,"7,184",48%,"1,115",50%,"7,796",52%,"1,731",77%,"8,983",60%,269,12%,"4,320",29%,91,4%,560,4%,88,4%,442,3%,44,2%,487,3%,13,1%,158,1%,6,0%,30,0%,"2,083",(93%),"11,173",75%,140,(6%),"3,231",22%,19,(1%),576,4%,"{'Sunrise Middle School': '1 miles', 'Desert Shadows Middle School': '2 miles', 'Scottsdale Christian Academy': '2 miles', 'Sweetwater Community School': '3 miles', 'Paradise Valley High School': '3 miles', 'Pvonline': '4 miles', 'Greenway Middle School': '4 miles', 'Roadrunner School': '4 miles', 'Chaparral High School': '4 miles', 'Vista Verde Middle School': '4 miles'}"
Notre Dame Preparatory,Private,Scottsdale,85260,09 - 12,898,14:1,"361st out of 7,602",4th out of 74,449,50%,"5,922",48%,449,50%,"6,504",52%,794,88%,"7,908",67%,34,4%,617,5%,28,3%,703,6%,25,3%,"1,876",16%,11,1%,603,5%,3,0%,40,0%,3,0%,133,1%,,,,,,,,,,,,,"{'Gateway Academy': '5 miles', 'Desert Mountain High School': '5 miles', 'Desert Shadows Middle School': '6 miles', 'Chaparral High School': '6 miles', 'Horizon High School': '6 miles', 'Scottsdale Christian Academy': '7 miles', 'Sunrise Middle School': '7 miles', 'Sweetwater Community School': '8 miles', 'Paradise Valley High School': '8 miles', 'Explorer Middle School': '8 miles'}"
Saguaro High School,Public,Scottsdale,85250,09 - 12,"1,292",21.1:1,"4,318th out of 26,089",114th out of 659,672,52%,"4,240",50%,620,48%,"4,249",50%,875,68%,"5,573",66%,244,19%,"1,806",21%,64,5%,508,6%,49,4%,325,4%,38,3%,182,2%,16,1%,68,1%,6,0%,27,0%,"1,013",(78%),"6,756",80%,235,(18%),"1,507",18%,44,(3%),226,3%,"{'Chaparral High School': '4 miles', 'Coronado High School': '4 miles', 'Gateway Academy': '4 miles', 'Scottsdale Online Learning': '5 miles', 'Arcadia High School': '5 miles', 'Ville De Marie Academy': '5 miles', 'Phoenix Country Day School': '6 miles', 'Desert Shadows Middle School': '7 miles', 'Camelback High School': '7 miles', 'Desert Mountain High School': '7 miles'}"
Salt River Accelerated Learning Academy,Public,Scottsdale,85256,09 - 12,43,-1:1,"22,979th out of 26,089",483rd out of 659,27,63%,140,54%,16,37%,120,46%,41,95%,226,87%,2,5%,33,13%,0,0%,1,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,34,(79%),159,61%,9,(21%),98,38%,0,(0%),3,1%,"{'Westwood High School': '3 miles', 'Carson Junior High School': '3 miles', 'Ville De Marie Academy': '3 miles', 'Evit - East Valley Institute of Technology': '4 miles', 'Coronado High School': '4 miles', 'Kino Junior High School': '4 miles', 'Redeemer Christian School': '5 miles', 'The Aces-Tempe': '5 miles', 'Saguaro High School': '5 miles', 'Scottsdale Online Learning': '5 miles'}"
Salt River High School,Public,Scottsdale,85256,07 - 12,217,-1:1,"16,760th out of 26,089",296th out of 659,113,52%,140,54%,104,48%,120,46%,185,85%,226,87%,31,14%,33,13%,1,0%,1,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,125,(58%),159,61%,89,(41%),98,38%,3,(1%),3,1%,"{'Saguaro High School': '5 miles', 'Desert Mountain High School': '6 miles', 'Coronado High School': '6 miles', 'Mesa Distance Learning Program': '6 miles', 'Ville De Marie Academy': '6 miles', 'Carson Junior High School': '6 miles', 'Stapley Junior High School': '6 miles', 'Westwood High School': '6 miles', 'Kino Junior High School': '6 miles', 'Mountain View High School': '7 miles'}"
